building_type_id,non_residential_sqft,note,parcel_id,residential_units,stories,unit_price_non_residential,year_built,res_price_per_sqft,residential_price,non_residential_price,job_spaces,building_sqft,DEVTYPE
1,0,pipeline,593953,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,593954,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593955,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593956,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,593957,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593958,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593959,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593960,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,593963,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,593969,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,593970,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,593975,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,593986,1,1,0,2020,0,0,0,0,0,develop
6,8177,pipeline,593988,0,1,0,2020,0,0,0,23,8177,develop
2,0,pipeline,593991,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,593994,1,1,0,2021,0,0,0,0,0,develop
3,16655,pipeline,593995,0,1,0,2022,0,0,0,18,16655,develop
2,0,pipeline,593997,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594001,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594002,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594006,1,1,0,2020,0,0,0,0,0,develop
4,54311,pipeline,594010,0,1,0,2021,0,0,0,146,54311,develop
1,0,pipeline,594011,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594016,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594017,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594021,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594032,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594033,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594036,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594038,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594045,1,1,0,2021,0,0,0,0,0,develop
1,0,pipeline,594052,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594054,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594056,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594058,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594059,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594060,1,1,0,2020,0,0,0,0,0,develop
3,17876,pipeline,594061,0,1,0,2022,0,0,0,19,17876,develop
1,0,pipeline,594062,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594063,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594073,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594081,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594087,1,1,0,2021,0,0,0,0,0,develop
8,3500,pipeline,594089,0,1,0,2023,0,0,0,12,3500,develop
2,0,pipeline,594090,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594094,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594095,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594097,1,1,0,2020,0,0,0,0,0,develop
1,0,pipeline,594100,1,1,0,2020,0,0,0,0,0,develop
2,0,pipeline,594103,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594105,1,1,0,2021,0,0,0,0,0,develop
2,0,pipeline,594110,1,1,0,2021,0,0,0,0,0,develop
