year,sector_id,number_of_jobs,cid
2036,5,17615,11
2036,6,27685,11
2036,7,57395,11
2036,8,189,11
2036,9,22067,11
2036,10,12424,11
2036,11,1141,11
2036,12,6816,11
2036,1,66854,35
2036,2,75908,35
2036,3,168882,35
2036,4,106434,35
2036,5,71849,35
2036,6,177738,35
2036,7,305319,35
2036,8,4104,35
2036,9,90494,35
2036,10,102857,35
2036,11,1408,35
2036,12,36628,35
2036,1,28511,49
2036,2,46183,49
2036,3,73113,49
2036,4,51073,49
2036,5,26712,49
2036,6,83004,49
2036,7,116159,49
2036,8,914,49
2036,9,49349,49
2036,10,19737,49
2036,11,3237,49
2036,12,18157,49
2036,1,9334,57
2036,2,11674,57
2036,3,25903,57
2036,4,19115,57
2036,5,18770,57
2036,6,13000,57
2036,7,41630,57
2036,8,210,57
2036,9,15273,57
2036,10,9075,57
2036,11,1401,57
2036,12,4132,57
2037,1,13329,11
2037,2,20493,11
2037,3,47523,11
2037,4,23928,11
2037,5,17591,11
2037,6,28211,11
2037,7,57785,11
2037,8,191,11
2037,9,22555,11
2037,10,12326,11
2037,11,1156,11
2037,12,6894,11
2037,1,67249,35
2037,2,78024,35
2037,3,171025,35
2037,4,108159,35
2037,5,71977,35
2037,6,181564,35
2037,7,307739,35
2037,8,4146,35
2037,9,92313,35
2037,10,102301,35
2037,11,1424,35
2037,12,37096,35
2037,1,28815,49
2037,2,47440,49
2037,3,73823,49
2037,4,52019,49
2037,5,26802,49
2037,6,85118,49
2037,7,117499,49
2037,8,933,49
2037,9,50469,49
2037,10,19699,49
2037,11,3235,49
2037,12,18420,49
2037,1,9360,57
2037,2,11991,57
2037,3,26010,57
2037,4,19321,57
2037,5,18830,57
2037,6,13241,57
2037,7,41909,57
2037,8,216,57
2037,9,15534,57
2037,10,8993,57
2037,11,1398,57
2037,12,4153,57
2038,1,13317,11
2038,2,21090,11
2038,3,47862,11
2038,4,24362,11
2038,5,17597,11
2038,6,28725,11
2038,7,58176,11
2038,8,193,11
2038,9,22973,11
2038,10,12217,11
2038,11,1171,11
2038,12,6937,11
2038,1,67130,35
2038,2,80199,35
2038,3,172436,35
2038,4,109973,35
2038,5,72225,35
2038,6,185696,35
2038,7,310242,35
2038,8,4180,35
2038,9,93900,35
2038,10,101614,35
2038,11,1440,35
2038,12,37452,35
2038,1,28889,49
2038,2,48730,49
2038,3,74588,49
2038,4,52995,49
2038,5,26957,49
2038,6,87200,49
2038,7,118791,49
2038,8,950,49
2038,9,51429,49
2038,10,19634,49
2038,11,3232,49
2038,12,18722,49
2038,1,9314,57
2038,2,12320,57
2038,3,26135,57
2038,4,19537,57
2038,5,18924,57
2038,6,13478,57
2038,7,42168,57
2038,8,221,57
2038,9,15744,57
2038,10,8906,57
2038,11,1395,57
2038,12,4188,57
2039,1,13343,11
2039,2,21683,11
2039,3,48189,11
2039,4,24788,11
2039,5,17585,11
2039,6,29229,11
2039,7,58507,11
2039,8,194,11
2039,9,23439,11
2039,10,12108,11
2039,11,1185,11
2039,12,7017,11
2039,1,67184,35
2039,2,82334,35
2039,3,173965,35
2039,4,111691,35
2039,5,72427,35
2039,6,189693,35
2039,7,312386,35
2039,8,4217,35
2039,9,95708,35
2039,10,100894,35
2039,11,1455,35
2039,12,38042,35
2039,1,29040,49
2039,2,49997,49
2039,3,75477,49
2039,4,53956,49
2039,5,27116,49
2039,6,89266,49
2039,7,119964,49
2039,8,967,49
2039,9,52504,49
2039,10,19570,49
2039,11,3230,49
2039,12,18963,49
2039,1,9293,57
2039,2,12648,57
2039,3,26256,57
2039,4,19744,57
2039,5,19014,57
2039,6,13716,57
2039,7,42383,57
2039,8,227,57
2039,9,15989,57
2039,10,8819,57
2039,11,1393,57
2039,12,4223,57
2040,1,13364,11
2040,2,22267,11
2040,3,48721,11
2040,4,25231,11
2040,5,17527,11
2040,6,29698,11
2040,7,58921,11
2040,8,197,11
2040,9,23845,11
2040,10,11994,11
2040,11,1200,11
2040,12,7064,11
2040,1,67244,35
2040,2,84418,35
2040,3,175604,35
2040,4,113552,35
2040,5,72482,35
2040,6,193339,35
2040,7,315294,35
2040,8,4264,35
2040,9,97297,35
2040,10,100168,35
2040,11,1469,35
2040,12,38428,35
2040,1,29228,49
2040,2,51292,49
2040,3,76406,49
2040,4,55071,49
2040,5,27244,49
2040,6,91257,49
2040,7,121467,49
2040,8,988,49
2040,9,53517,49
2040,10,19516,49
2040,11,3230,49
2040,12,19275,49
2040,1,9273,57
2040,2,12973,57
2040,3,26456,57
2040,4,19975,57
2040,5,19063,57
2040,6,13929,57
2040,7,42673,57
2040,8,233,57
2040,9,16200,57
2040,10,8727,57
2040,11,1389,57
2040,12,4254,57
2041,1,13516,11
2041,2,22931,11
2041,3,48829,11
2041,4,25653,11
2041,5,17481,11
2041,6,30078,11
2041,7,59399,11
2041,8,198,11
2041,9,24287,11
2041,10,11916,11
2041,11,1214,11
2041,12,7139,11
2041,1,67885,35
2041,2,86667,35
2041,3,176858,35
2041,4,115191,35
2041,5,72493,35
2041,6,196459,35
2041,7,318173,35
2041,8,4287,35
2041,9,98897,35
2041,10,99598,35
2041,11,1483,35
2041,12,38867,35
2041,1,29645,49
2041,2,52659,49
2041,3,77283,49
2041,4,56058,49
2041,5,27341,49
2041,6,92883,49
2041,7,122844,49
2041,8,1003,49
2041,9,54496,49
2041,10,19484,49
2041,11,3228,49
2041,12,19575,49
2041,1,9339,57
2041,2,13337,57
2041,3,26474,57
2041,4,20171,57
2041,5,19107,57
2041,6,14089,57
2041,7,42964,57
2041,8,238,57
2041,9,16427,57
2041,10,8656,57
2041,11,1385,57
2041,12,4315,57
2042,1,13663,11
2042,2,23566,11
2042,3,49179,11
2042,4,26042,11
2042,5,17528,11
2042,6,30437,11
2042,7,59838,11
2042,8,199,11
2042,9,24660,11
2042,10,11858,11
2042,11,1230,11
2042,12,7215,11
2042,1,68539,35
2042,2,88825,35
2042,3,178354,35
2042,4,116741,35
2042,5,72920,35
2042,6,199380,35
2042,7,320887,35
2042,8,4307,35
2042,9,100274,35
2042,10,99236,35
